request_id,hospital_id,component_id,blood_group,units_requested,request_date,status,priority,event_type
78,7,4,A+,3,2024-07-14,Fulfilled,Urgent,None
79,2,1,A+,2,2024-07-14,Fulfilled,Routine,None
80,1,2,B+,1,2024-07-14,Fulfilled,Routine,None
81,4,3,A+,6,2024-07-15,Fulfilled,Routine,None
82,3,2,B+,1,2024-07-15,Fulfilled,Routine,None
83,1,1,A-,3,2024-07-15,Fulfilled,Urgent,None
84,6,1,A+,2,2024-07-15,Fulfilled,Urgent,None
85,1,4,A+,1,2024-07-15,Fulfilled,Routine,None
86,7,1,B+,1,2024-07-15,Fulfilled,Routine,None
87,4,4,A-,5,2024-07-15,Fulfilled,Routine,None
88,2,2,B+,2,2024-07-16,Cancelled,Routine,None
89,8,3,A-,5,2024-07-16,Fulfilled,Routine,None
90,1,3,B+,2,2024-07-16,Fulfilled,Routine,None
91,7,1,B+,1,2024-07-16,Fulfilled,Routine,None
92,2,1,A+,1,2024-07-16,Fulfilled,Routine,None
93,7,3,B+,2,2024-07-16,Fulfilled,Routine,None
94,8,3,O+,3,2024-07-17,Fulfilled,Emergency,None
95,8,3,B+,3,2024-07-17,Fulfilled,Urgent,None
96,7,2,A+,2,2024-07-17,Fulfilled,Routine,None
97,7,1,B+,4,2024-07-18,Fulfilled,Emergency,None
98,5,4,O+,2,2024-07-18,Fulfilled,Emergency,None
99,3,4,O+,3,2024-07-18,Fulfilled,Urgent,None
100,4,2,A+,2,2024-07-18,Fulfilled,Routine,None
101,6,2,A+,1,2024-07-18,Fulfilled,Routine,None
102,3,2,B+,2,2024-07-18,Fulfilled,Routine,None
103,1,2,A+,3,2024-07-18,Fulfilled,Emergency,None
104,8,4,A+,8,2024-07-19,Fulfilled,Urgent,None
105,4,2,A+,5,2024-07-19,Fulfilled,Routine,None
106,7,1,O+,3,2024-07-19,Cancelled,Emergency,None
107,4,1,A+,2,2024-07-19,Fulfilled,Routine,None
108,7,2,B+,1,2024-07-19,Fulfilled,Routine,None
109,7,3,O+,7,2024-07-19,Fulfilled,Emergency,None
110,4,1,A+,3,2024-07-19,Fulfilled,Routine,None
111,6,3,B+,1,2024-07-20,Fulfilled,Routine,None
112,6,4,O-,2,2024-07-20,Fulfilled,Routine,None
113,3,3,O+,1,2024-07-20,Fulfilled,Routine,None
114,4,1,A+,1,2024-07-20,Fulfilled,Routine,None
115,3,2,A-,1,2024-07-20,Fulfilled,Routine,None
116,4,4,O+,5,2024-07-21,Fulfilled,Routine,None
117,4,2,B+,3,2024-07-21,Fulfilled,Urgent,None
118,5,4,A+,2,2024-07-21,Fulfilled,Routine,None
119,3,4,A+,2,2024-07-21,Fulfilled,Routine,None
120,1,2,A+,3,2024-07-21,Fulfilled,Routine,None
121,3,2,A+,5,2024-07-21,Fulfilled,Emergency,None
122,5,3,B+,3,2024-07-21,Fulfilled,Routine,None
123,2,2,O+,2,2024-07-21,Fulfilled,Routine,None
124,6,2,A+,1,2024-07-21,Fulfilled,Routine,None
125,1,3,A+,4,2024-07-21,Fulfilled,Urgent,None
126,8,1,A+,1,2024-07-22,Fulfilled,Routine,None
127,3,1,A+,5,2024-07-22,Cancelled,Emergency,None
128,4,2,B-,3,2024-07-22,Fulfilled,Routine,None
129,5,2,B+,1,2024-07-22,Fulfilled,Routine,None
130,5,4,A+,4,2024-07-22,Fulfilled,Urgent,None
131,8,2,A+,4,2024-07-22,Fulfilled,Urgent,None
132,6,1,A+,1,2024-07-22,Fulfilled,Routine,None
133,2,1,A+,2,2024-07-22,Fulfilled,Urgent,None
134,5,4,B+,2,2024-07-22,Fulfilled,Routine,None
135,5,4,B+,6,2024-07-22,Fulfilled,Emergency,None
136,7,3,A+,1,2024-07-23,Fulfilled,Routine,None
137,7,1,B+,1,2024-07-23,Fulfilled,Routine,None
138,6,3,A+,3,2024-07-23,Fulfilled,Emergency,None
139,7,1,B+,3,2024-07-24,Fulfilled,Routine,None
140,8,4,B+,3,2024-07-24,Fulfilled,Routine,None
141,8,2,A+,3,2024-07-24,Fulfilled,Routine,None
142,2,4,B+,1,2024-07-24,Fulfilled,Routine,None
143,1,1,A+,1,2024-07-24,Fulfilled,Routine,None
144,8,3,AB+,10,2024-07-25,Fulfilled,Urgent,None
145,8,3,A-,5,2024-07-25,Fulfilled,Urgent,None
146,1,2,B+,3,2024-07-25,Fulfilled,Routine,None
147,8,1,B+,1,2024-07-25,Fulfilled,Routine,None
148,7,2,B+,2,2024-07-26,Fulfilled,Urgent,None
149,4,4,B+,5,2024-07-26,Fulfilled,Routine,None
150,2,4,B+,2,2024-07-26,Fulfilled,Routine,None
151,5,1,A+,1,2024-07-26,Fulfilled,Routine,None
152,2,1,O-,2,2024-07-26,Fulfilled,Routine,None
153,6,2,A+,1,2024-07-26,Fulfilled,Urgent,None
154,1,1,O+,2,2024-07-26,Fulfilled,Routine,None
155,4,4,O-,3,2024-07-26,Fulfilled,Routine,None
156,3,2,B+,1,2024-07-27,Fulfilled,Routine,None
157,6,3,AB-,4,2024-07-27,Fulfilled,Urgent,None
158,7,2,A+,3,2024-07-27,Fulfilled,Urgent,None
159,7,3,A-,5,2024-07-27,Fulfilled,Urgent,None
160,4,1,O+,8,2024-07-27,Fulfilled,Urgent,None
161,8,4,B+,3,2024-07-27,Fulfilled,Routine,None
162,7,2,O+,1,2024-07-27,Fulfilled,Routine,None
163,2,2,A-,2,2024-07-27,Fulfilled,Urgent,None
164,6,1,B-,1,2024-07-27,Fulfilled,Routine,None
165,3,2,O+,1,2024-07-27,Fulfilled,Routine,None
166,3,3,A+,3,2024-07-27,Fulfilled,Urgent,None
167,1,4,A+,6,2024-07-27,Fulfilled,Emergency,None
168,3,4,A+,1,2024-07-27,Fulfilled,Urgent,None
169,6,4,A+,2,2024-07-28,Fulfilled,Routine,None
170,3,4,B-,1,2024-07-28,Fulfilled,Routine,None
171,7,1,A+,3,2024-07-28,Fulfilled,Urgent,None
172,8,2,A+,2,2024-07-28,Fulfilled,Urgent,None
173,8,3,A+,4,2024-07-28,Fulfilled,Urgent,None
174,7,1,O-,2,2024-07-28,Fulfilled,Routine,None
175,7,1,A+,2,2024-07-28,Fulfilled,Routine,None
176,5,1,A+,3,2024-07-29,Fulfilled,Urgent,None
177,3,1,AB+,2,2024-07-29,Fulfilled,Routine,None
178,7,4,A+,2,2024-07-29,Fulfilled,Routine,None
179,6,1,A+,3,2024-07-29,Fulfilled,Urgent,None
180,1,4,B+,1,2024-07-29,Fulfilled,Routine,None
181,1,1,O+,1,2024-07-30,Fulfilled,Routine,None
182,5,2,A-,8,2024-07-30,Fulfilled,Urgent,None
183,3,2,O+,6,2024-07-30,Fulfilled,Emergency,None
184,3,1,A+,2,2024-07-30,Fulfilled,Routine,None
185,7,1,A+,9,2024-07-30,Fulfilled,Emergency,None
186,2,4,A+,4,2024-07-30,Fulfilled,Emergency,None
187,6,2,A+,6,2024-07-30,Fulfilled,Emergency,None
188,4,4,B-,6,2024-07-31,Fulfilled,Emergency,None
189,3,4,A+,1,2024-07-31,Fulfilled,Routine,None
190,2,1,O+,1,2024-07-31,Fulfilled,Routine,None
191,5,4,AB+,1,2024-07-31,Fulfilled,Routine,None
192,6,3,B+,3,2024-07-31,Fulfilled,Routine,None
193,4,2,A+,3,2024-07-31,Fulfilled,Routine,None
194,2,1,A+,2,2024-07-31,Fulfilled,Routine,None
195,6,1,A-,3,2024-07-31,Fulfilled,Routine,None
196,5,2,A-,1,2024-07-31,Fulfilled,Routine,None
197,1,3,B+,2,2024-08-01,Fulfilled,Routine,None
198,8,4,A-,2,2024-08-01,Fulfilled,Routine,None
199,7,1,A+,2,2024-08-01,Fulfilled,Routine,None
200,6,4,O+,1,2024-08-01,Fulfilled,Routine,None
201,1,4,B+,2,2024-08-01,Fulfilled,Routine,None
202,8,4,AB+,1,2024-08-01,Fulfilled,Routine,None
203,7,1,O+,1,2024-08-02,Fulfilled,Routine,None
204,8,3,B+,7,2024-08-02,Fulfilled,Emergency,None
205,5,3,A-,2,2024-08-02,Fulfilled,Urgent,None
206,4,1,A+,3,2024-08-02,Fulfilled,Routine,None
207,4,1,A-,3,2024-08-02,Fulfilled,Routine,None
208,1,1,B+,5,2024-08-02,Fulfilled,Routine,None
209,7,3,AB+,2,2024-08-02,Fulfilled,Routine,None
210,6,4,A-,2,2024-08-02,Fulfilled,Routine,None
211,2,3,A+,1,2024-08-02,Fulfilled,Routine,None
212,2,4,B+,7,2024-08-02,Fulfilled,Urgent,None
213,4,3,B-,4,2024-08-02,Fulfilled,Urgent,None
214,6,4,A+,1,2024-08-02,Fulfilled,Routine,None
215,5,3,A+,1,2024-08-02,Fulfilled,Routine,None
216,7,4,A+,1,2024-08-02,Fulfilled,Routine,None
217,6,1,O+,3,2024-08-03,Fulfilled,Urgent,None
218,3,3,A+,2,2024-08-03,Fulfilled,Routine,None
219,6,2,B+,1,2024-08-03,Fulfilled,Routine,None
220,6,2,O-,1,2024-08-03,Fulfilled,Routine,None
221,8,4,B+,3,2024-08-03,Fulfilled,Urgent,None
222,3,1,A-,1,2024-08-03,Fulfilled,Routine,None
223,1,1,O-,1,2024-08-03,Fulfilled,Routine,None
224,1,3,A+,3,2024-08-03,Fulfilled,Routine,None
225,5,4,B+,1,2024-08-04,Fulfilled,Routine,None
226,1,3,A+,3,2024-08-04,Fulfilled,Routine,None
227,6,1,O+,2,2024-08-04,Fulfilled,Urgent,None
228,5,3,B+,2,2024-08-04,Fulfilled,Routine,None
229,7,4,O+,2,2024-08-04,Fulfilled,Routine,None
230,1,2,A+,1,2024-08-04,Fulfilled,Routine,None
231,6,1,A-,2,2024-08-04,Fulfilled,Routine,None
232,6,4,AB+,1,2024-08-05,Fulfilled,Routine,None
233,4,4,O-,2,2024-08-05,Cancelled,Routine,None
234,6,3,A+,2,2024-08-05,Fulfilled,Routine,None
235,5,4,A+,2,2024-08-05,Fulfilled,Urgent,None
236,2,2,A+,3,2024-08-05,Fulfilled,Routine,None
237,2,1,A+,1,2024-08-05,Fulfilled,Routine,None
238,2,1,O+,1,2024-08-05,Fulfilled,Routine,None
239,4,2,B+,9,2024-08-05,Fulfilled,Routine,None
240,6,3,A+,2,2024-08-05,Fulfilled,Routine,None
241,6,4,O+,2,2024-08-06,Fulfilled,Routine,None
242,1,2,A+,1,2024-08-06,Fulfilled,Routine,None
243,2,2,B+,2,2024-08-06,Fulfilled,Routine,None
244,5,4,A+,5,2024-08-06,Fulfilled,Routine,None
245,2,2,A+,2,2024-08-06,Fulfilled,Routine,None
246,1,4,A+,1,2024-08-07,Fulfilled,Routine,None
247,5,2,B+,2,2024-08-07,Fulfilled,Routine,None
248,4,1,A+,4,2024-08-07,Fulfilled,Routine,None
249,2,2,O+,4,2024-08-07,Fulfilled,Routine,None
250,4,2,A+,3,2024-08-07,Fulfilled,Routine,None
251,4,2,A+,8,2024-08-07,Fulfilled,Urgent,None
252,8,4,B+,2,2024-08-07,Fulfilled,Routine,None
253,7,4,AB+,6,2024-08-07,Fulfilled,Urgent,None
254,5,1,O-,1,2024-08-08,Fulfilled,Urgent,None
255,8,2,A+,2,2024-08-08,Fulfilled,Routine,None
256,3,4,A+,1,2024-08-08,Fulfilled,Routine,None
257,1,1,B+,2,2024-08-08,Fulfilled,Urgent,None
258,6,1,A+,5,2024-08-08,Fulfilled,Emergency,None
259,8,4,B+,1,2024-08-08,Fulfilled,Routine,None
260,7,3,A+,8,2024-08-09,Fulfilled,Emergency,Festival
261,4,4,A+,2,2024-08-09,Fulfilled,Urgent,Festival
262,7,4,O+,2,2024-08-09,Fulfilled,Emergency,Festival
263,8,2,O+,2,2024-08-09,Fulfilled,Emergency,Festival
264,2,3,AB+,2,2024-08-09,Fulfilled,Emergency,Festival
265,4,1,A+,10,2024-08-10,Fulfilled,Emergency,Festival
266,7,2,O-,8,2024-08-10,Fulfilled,Emergency,Festival
267,3,2,A+,5,2024-08-10,Fulfilled,Emergency,Festival
268,1,4,A+,4,2024-08-10,Fulfilled,Urgent,Festival
269,7,3,O+,3,2024-08-10,Fulfilled,Emergency,Festival
270,5,4,B+,5,2024-08-10,Fulfilled,Emergency,Festival
271,5,1,B+,9,2024-08-10,Fulfilled,Emergency,Festival
272,2,2,O+,9,2024-08-10,Fulfilled,Emergency,Festival
273,2,4,O+,4,2024-08-10,Fulfilled,Emergency,Festival
274,1,3,A-,4,2024-08-10,Fulfilled,Emergency,Festival
275,4,1,O-,5,2024-08-10,Fulfilled,Urgent,Festival
276,3,2,O+,2,2024-08-10,Fulfilled,Urgent,Festival
277,6,3,A+,3,2024-08-10,Cancelled,Emergency,Festival
278,6,1,B-,4,2024-08-10,Fulfilled,Emergency,Festival
279,8,1,A-,3,2024-08-10,Fulfilled,Emergency,Festival
280,2,3,O+,2,2024-08-11,Fulfilled,Urgent,None
281,1,1,B+,3,2024-08-11,Fulfilled,Emergency,None
282,2,1,B+,1,2024-08-11,Fulfilled,Routine,None
283,5,2,A+,2,2024-08-11,Fulfilled,Routine,None
284,5,3,O+,1,2024-08-11,Fulfilled,Routine,None
285,2,2,O+,2,2024-08-11,Fulfilled,Routine,None
286,4,3,B+,4,2024-08-11,Fulfilled,Routine,None
287,5,2,B-,2,2024-08-11,Fulfilled,Routine,None
288,8,3,A-,3,2024-08-12,Fulfilled,Urgent,None
289,8,1,A+,4,2024-08-12,Fulfilled,Emergency,None
290,2,3,A+,4,2024-08-12,Fulfilled,Routine,None
291,1,3,B-,2,2024-08-12,Fulfilled,Routine,None
292,6,3,A+,1,2024-08-12,Fulfilled,Routine,None
293,4,3,A+,3,2024-08-12,Fulfilled,Routine,None
294,5,4,A-,1,2024-08-12,Fulfilled,Routine,None
295,7,2,AB+,1,2024-08-13,Fulfilled,Urgent,None
296,2,2,A+,3,2024-08-13,Fulfilled,Urgent,None
297,6,2,A+,1,2024-08-13,Fulfilled,Routine,None
298,1,2,B+,2,2024-08-13,Fulfilled,Emergency,None
299,5,1,B+,1,2024-08-13,Fulfilled,Routine,None
300,2,4,A+,1,2024-08-13,Fulfilled,Routine,None
301,8,3,O+,6,2024-08-14,Fulfilled,Emergency,Festival
302,4,1,O+,10,2024-08-14,Fulfilled,Emergency,Festival
303,2,2,B+,9,2024-08-14,Fulfilled,Emergency,Festival
304,8,3,A+,3,2024-08-14,Fulfilled,Emergency,Festival
305,8,2,O+,5,2024-08-14,Fulfilled,Emergency,Festival
306,8,2,A+,5,2024-08-14,Fulfilled,Emergency,Festival
307,4,3,O+,12,2024-08-14,Fulfilled,Emergency,Festival
308,1,2,A-,3,2024-08-14,Fulfilled,Emergency,Festival
309,6,2,A-,5,2024-08-15,Fulfilled,Emergency,Festival
310,6,3,B+,5,2024-08-15,Fulfilled,Emergency,Festival
311,7,4,O+,2,2024-08-15,Fulfilled,Urgent,Festival
312,3,2,B+,6,2024-08-16,Fulfilled,Emergency,Accident
313,8,1,O+,8,2024-08-16,Fulfilled,Emergency,Accident
314,3,4,O+,4,2024-08-16,Fulfilled,Emergency,Accident
315,5,2,A-,5,2024-08-16,Fulfilled,Emergency,Accident
316,1,4,B+,3,2024-08-16,Fulfilled,Urgent,Accident
317,7,4,B+,4,2024-08-16,Fulfilled,Emergency,Accident
318,4,4,A+,8,2024-08-16,Fulfilled,Emergency,Accident
319,2,4,A+,4,2024-08-16,Fulfilled,Urgent,Accident
320,4,1,AB+,4,2024-08-16,Fulfilled,Urgent,Accident
321,2,1,A+,5,2024-08-16,Fulfilled,Emergency,Accident
322,6,2,A+,2,2024-08-16,Fulfilled,Emergency,Accident
323,2,1,A+,4,2024-08-16,Fulfilled,Emergency,Accident
324,7,4,A+,7,2024-08-16,Fulfilled,Emergency,Accident
325,7,4,A+,2,2024-08-16,Fulfilled,Emergency,Accident
326,6,2,A+,2,2024-08-16,Fulfilled,Urgent,Accident
327,2,3,B-,2,2024-08-16,Fulfilled,Emergency,Accident
328,8,2,O+,7,2024-08-16,Fulfilled,Emergency,Accident
329,5,3,A+,8,2024-08-16,Fulfilled,Emergency,Accident
330,3,2,A+,2,2024-08-16,Fulfilled,Emergency,Accident
331,7,1,O-,6,2024-08-16,Fulfilled,Emergency,Accident
332,8,1,O+,4,2024-08-16,Fulfilled,Urgent,Accident
333,3,3,O-,1,2024-08-16,Fulfilled,Urgent,Accident
334,2,1,B+,3,2024-08-16,Fulfilled,Urgent,Accident
335,5,1,A+,2,2024-08-17,Fulfilled,Routine,None
336,7,3,O+,1,2024-08-17,Fulfilled,Urgent,None
337,7,2,AB+,1,2024-08-17,Fulfilled,Routine,None
338,2,2,A+,3,2024-08-17,Fulfilled,Routine,None
339,8,3,A+,3,2024-08-17,Fulfilled,Emergency,None
340,6,2,B+,1,2024-08-17,Fulfilled,Routine,None
341,8,1,A-,1,2024-08-18,Fulfilled,Routine,None
342,7,2,B+,1,2024-08-18,Fulfilled,Routine,None
343,5,1,A-,2,2024-08-18,Fulfilled,Routine,None
344,3,3,AB+,6,2024-08-18,Fulfilled,Emergency,None
345,1,1,B+,2,2024-08-18,Fulfilled,Routine,None
346,8,1,A-,3,2024-08-18,Fulfilled,Urgent,None
347,2,1,B+,1,2024-08-18,Fulfilled,Routine,None
348,3,2,O+,1,2024-08-18,Fulfilled,Routine,None
349,4,2,A+,2,2024-08-19,Fulfilled,Routine,None
350,7,4,B+,1,2024-08-19,Fulfilled,Routine,None
351,4,1,AB+,9,2024-08-19,Fulfilled,Routine,None
352,1,2,A+,1,2024-08-19,Fulfilled,Routine,None
353,1,3,A+,1,2024-08-20,Fulfilled,Routine,None
354,1,2,A-,1,2024-08-21,Fulfilled,Routine,None
355,7,4,A+,2,2024-08-21,Cancelled,Routine,None
356,7,2,B+,1,2024-08-21,Fulfilled,Routine,None
357,3,1,B+,1,2024-08-21,Fulfilled,Routine,None
358,2,4,A+,1,2024-08-22,Fulfilled,Routine,None
359,8,1,A-,1,2024-08-22,Fulfilled,Routine,None
360,7,1,A-,2,2024-08-22,Fulfilled,Urgent,None
361,2,3,AB-,2,2024-08-22,Fulfilled,Emergency,None
362,1,1,A+,2,2024-08-22,Fulfilled,Routine,None
363,1,3,B+,2,2024-08-22,Fulfilled,Routine,None
364,2,3,A+,1,2024-08-23,Fulfilled,Routine,None
365,1,4,B+,1,2024-08-23,Fulfilled,Routine,None
366,2,1,O+,1,2024-08-23,Fulfilled,Routine,None
367,6,4,B+,1,2024-08-23,Fulfilled,Routine,None
368,4,3,A+,5,2024-08-23,Fulfilled,Routine,None
369,1,4,AB-,2,2024-08-23,Fulfilled,Routine,None
370,2,4,AB+,2,2024-08-24,Fulfilled,Routine,None
371,4,1,A+,3,2024-08-24,Fulfilled,Routine,None
372,2,4,A+,3,2024-08-24,Fulfilled,Urgent,None
373,4,2,AB+,1,2024-08-24,Fulfilled,Routine,None
374,7,1,B+,6,2024-08-24,Fulfilled,Emergency,None
375,2,1,O+,2,2024-08-25,Fulfilled,Routine,None
376,4,1,O+,5,2024-08-25,Fulfilled,Urgent,None
377,2,4,B+,4,2024-08-25,Fulfilled,Urgent,None
378,5,1,A+,2,2024-08-25,Fulfilled,Routine,None
379,7,3,B+,3,2024-08-25,Fulfilled,Routine,None
380,1,3,A+,2,2024-08-25,Fulfilled,Routine,None
381,2,2,AB-,1,2024-08-25,Fulfilled,Routine,None
382,6,2,O-,1,2024-08-25,Fulfilled,Routine,None
383,4,3,A+,3,2024-08-25,Fulfilled,Routine,None
384,7,3,A+,1,2024-08-25,Fulfilled,Routine,None
385,6,3,B-,1,2024-08-25,Fulfilled,Routine,None
386,5,1,A+,2,2024-08-25,Fulfilled,Routine,None
387,2,4,A+,3,2024-08-26,Fulfilled,Emergency,None
388,6,4,B+,1,2024-08-26,Fulfilled,Routine,None
389,3,3,AB+,1,2024-08-26,Fulfilled,Emergency,None
390,6,1,A-,1,2024-08-26,Fulfilled,Routine,None
391,2,1,A+,1,2024-08-27,Fulfilled,Urgent,None
392,1,2,B+,2,2024-08-27,Fulfilled,Routine,None
393,2,3,B+,5,2024-08-27,Fulfilled,Urgent,None
394,8,4,A-,2,2024-08-27,Fulfilled,Routine,None
395,4,1,AB+,5,2024-08-27,Fulfilled,Routine,None
396,4,4,A-,5,2024-08-27,Fulfilled,Routine,None
397,4,2,B+,5,2024-08-27,Fulfilled,Routine,None
398,6,3,O-,3,2024-08-27,Fulfilled,Urgent,None
399,6,2,A+,1,2024-08-27,Fulfilled,Routine,None
400,8,2,A+,2,2024-08-27,Fulfilled,Routine,None
401,3,1,A+,5,2024-08-27,Fulfilled,Urgent,None
402,4,2,A+,4,2024-08-27,Fulfilled,Routine,None
403,7,4,AB+,1,2024-08-27,Fulfilled,Routine,None
404,5,2,O-,3,2024-08-28,Fulfilled,Emergency,None
405,7,1,A+,2,2024-08-28,Cancelled,Routine,None
406,4,3,O+,3,2024-08-28,Fulfilled,Routine,None
407,6,2,A+,2,2024-08-28,Fulfilled,Routine,None
408,1,3,AB+,2,2024-08-28,Fulfilled,Routine,None
409,8,3,B+,2,2024-08-28,Fulfilled,Routine,None
410,5,1,B+,1,2024-08-29,Fulfilled,Routine,None
411,8,2,AB+,3,2024-08-29,Fulfilled,Emergency,None
412,4,1,O+,3,2024-08-29,Fulfilled,Routine,None
413,1,3,B+,3,2024-08-29,Fulfilled,Emergency,None
414,8,4,B+,2,2024-08-29,Fulfilled,Routine,None
415,5,3,A-,3,2024-08-29,Fulfilled,Routine,None
416,3,3,O+,1,2024-08-29,Cancelled,Routine,None
417,3,4,A+,4,2024-08-30,Fulfilled,Urgent,None
418,2,2,A+,3,2024-08-30,Fulfilled,Routine,None
419,7,4,A-,2,2024-08-30,Fulfilled,Urgent,None
420,3,2,A+,1,2024-08-30,Fulfilled,Routine,None
421,5,3,B+,2,2024-08-30,Fulfilled,Routine,None
422,6,2,B+,1,2024-08-30,Fulfilled,Urgent,None
423,8,2,A-,7,2024-08-30,Fulfilled,Emergency,None
424,4,2,B+,3,2024-08-30,Fulfilled,Routine,None
425,7,1,A+,9,2024-08-31,Fulfilled,Emergency,None
426,4,3,A+,3,2024-08-31,Fulfilled,Urgent,None
427,6,1,AB+,3,2024-08-31,Fulfilled,Urgent,None
428,4,4,A+,2,2024-08-31,Fulfilled,Routine,None
429,8,2,O+,1,2024-08-31,Fulfilled,Routine,None
430,5,1,B+,1,2024-08-31,Fulfilled,Routine,None
431,6,2,A+,1,2024-08-31,Fulfilled,Routine,None
432,8,2,AB+,3,2024-08-31,Cancelled,Routine,None
433,3,2,A+,2,2024-08-31,Fulfilled,Routine,None
434,8,3,A+,1,2024-08-31,Fulfilled,Routine,None
435,7,2,A-,1,2024-08-31,Fulfilled,Routine,None
436,8,4,B-,2,2024-09-01,Fulfilled,Routine,None
437,1,1,A+,2,2024-09-01,Fulfilled,Routine,None
438,5,4,B+,1,2024-09-01,Fulfilled,Routine,None
439,3,3,B+,4,2024-09-01,Fulfilled,Urgent,None
